solar_time,zen,GHI_m,DNI_m,diffuse,dw_ir,temp,rh,pa_hpa,t_a,GHI_c,DNI_c,dhi,cs_period,reno_cs,site,pw_hpa,elev,P_rep,csv2,clr_pct,clr_num,afgl_t0,afgl_p0,x,y,correction,e,tdp,dtdp
2010-11-09 13:36:30.085218900+00:00,61.25,481.2,881.9,68.9,315.6,21.7,34.1,988.4,294.85,466.1473954747579,843.8964058660114,60.82701314671772,True,True,BON,8.834176548931909,213,98817.46387331044,True,0.5009232392508572,3791,293.2415,989.357,0.0933737349494914,0.7364993812890875,-0.00371211861834132,0.7543467838715092,278.34424818594226,16.50575181405776
2010-08-24 11:23:47.827458480+00:00,38.11,829.1,879.4,94.5,314.6,19.7,34.3,950.5,292.85,807.3722728028018,908.8904200960922,92.07499780108242,True,True,FPK,7.856253104211407,634,94042.32409080835,True,0.37756030951297226,4394,291.347,942.626,0.08805406849065033,0.7544278724334194,-0.010781163448100138,0.7455533752150449,276.66799750136454,16.182002498635484
2012-05-10 10:10:22.047161100+00:00,29.55,927.2,935.2,92.4,332.1,22.1,42.6,1004.6,295.25,863.8386159191032,851.1749546015963,122.72640954954544,True,True,GWC,11.308956332238397,98,100163.49097716731,True,0.5117691723614275,5268,293.759,1002.122,0.10564597543949063,0.7708132487631134,-0.0017194804187012412,0.774632797401478,281.9485078671376,13.301492132862393
2010-03-29 13:43:10.195915680+00:00,46.17,736.7,909.3,104.5,290.5,18.1,31.8,950.6,291.25,695.5279542468722,868.8974178650163,94.44812772336752,True,True,SXF,6.591226952005058,437,96247.34687072478,True,0.18012048192771085,4980,292.2335,964.493,0.08065379864048226,0.7120693963313135,-0.007516881020392618,0.7333207291527172,274.20130222767915,17.04869777232085
2012-08-18 09:14:27.956439+00:00,45.35,727.6,907.5,86.5,323.1,21.1,45.6,991.3,294.25,651.084898501162,749.0295542127277,123.93986815089625,True,True,BON,11.387135447563944,213,98817.46387331044,True,0.3435406698564593,5225,293.2415,989.357,0.10601051322603582,0.7601704655579932,-0.00371211861834132,0.7752353783626371,282.0505512192102,12.199448780789794
2010-10-07 11:09:51.585875160+00:00,50.68,661.6,924.2,74.6,301.7,18.6,37.9,967.7,291.75,629.9732473823411,860.815643186119,84.21995199093726,True,True,SXF,8.105732927029571,437,96247.34687072478,True,0.5935483870967742,4650,292.2335,964.493,0.08944124562790688,0.7344661275007875,-0.007516881020392618,0.74784637902293,277.1124520348124,14.637547965187593
2010-03-27 13:47:31.919720220+00:00,40.21,787.1,825.0,156.1,314.8,19.7,41.9,998.8,292.85,773.8481996495973,880.8572094124085,101.91224133739296,True,True,GWC,9.596997232258252,98,100163.49097716731,True,0.32442336710497954,4639,293.759,1002.122,0.09732163099293419,0.7549074832868417,-0.0017194804187012412,0.7608726560313201,279.54141199782026,13.30858800217976
2010-08-20 07:40:46.701799680+00:00,64.11,396.3,736.5,77.1,323.8,19.2,63.5,932.5,292.35,394.5440989304681,763.774456771635,60.14001970965052,True,True,FPK,14.099217184414668,634,94042.32409080835,True,0.33065042418968893,4597,291.347,942.626,0.11796120329066277,0.7818156721554538,-0.010781163448100138,0.7949898690394656,285.25647526372614,7.093524736273878
2012-09-28 11:19:17.651842020+00:00,47.02,691.2,781.1,158.0,317.8,20.6,28.1,967.8,293.75,679.7722302977993,861.2040889879156,92.4307485036784,True,True,SXF,6.804539739529641,437,96247.34687072478,True,0.4556135770234987,4596,292.2335,964.493,0.08194851181220755,0.7528046829165046,-0.007516881020392618,0.735460890025579,274.6451179501992,19.10488204980078
2010-04-16 16:30:36.246421020+00:00,67.41,351.5,689.2,102.9,277.1,16.6,19.3,950.9,289.75,332.66745286385066,714.6052170371717,59.11486289454768,True,True,FPK,3.6386480295989103,634,94042.32409080835,True,0.43252595155709345,4913,291.347,942.626,0.059925507088397174,0.6933981322506396,-0.010781163448100138,0.6990568632171205,266.2081598364495,23.54184016355049
