,pw,H2O,pCO2,pO3,paerosols,pN2O,pCH4,pO2,pN2,poverlaps
29,0.006719736601591038,0.6422054119741301,0.704707031656865,0.7158694662550014,0.7283210777463854,0.7303611469638839,0.7337794694670657,0.7337794694670657,0.7337794694670657,0.75442205737099
30,0.007175986912302724,0.6508284922927919,0.7106007682815548,0.7216479074876581,0.7338267420794321,0.73577570262296,0.7390843349338322,0.7390843349338322,0.7390843349338322,0.7590952845462738
31,0.007663215274442077,0.6596686080451721,0.7166786947923476,0.7276012917036981,0.7394961576255761,0.7413540088966255,0.7445523802855442,0.7445523802855442,0.7445523802855442,0.7639191286517493
32,0.008183525006401935,0.6687312218244217,0.7229458785115455,0.7337339446068005,0.7453331909010713,0.7470999323011308,0.7501874690688856,0.7501874690688856,0.7501874690688856,0.7688972033635108
33,0.008739162235695066,0.6780219337124116,0.7294075194933909,0.7400502651534054,0.7513417628349205,0.7530173937654768,0.7559935192278397,0.7559935192278397,0.7559935192278397,0.7740331717851572
34,0.00933252559527252,0.6875464847402037,0.7360689539272931,0.746554724185601,0.7575258466287746,0.7591103664913057,0.7619745009635001,0.7619745009635001,0.7619745009635001,0.7793307442087556
35,0.009966176578193443,0.6973107604356208,0.7429356576274644,0.7532518627678302,0.7638894652889375,0.765382873484923,0.7681344342660109,0.7681344342660109,0.7681344342660109,0.7847936755459699
36,0.010642850595346377,0.7073207944601017,0.7500132496111465,0.7601462901989129,0.7704366888006692,0.7718389847315833,0.7744773860887726,0.7744773860887726,0.7744773860887726,0.7904257623994475
37,0.011365468783957385,0.717582772337099,0.7573074957676709,0.7672426816684823,0.7771716309125335,0.7784828139798435,0.7810074671327123,0.7810074671327123,0.7810074671327123,0.7962308397422281
38,0.012137150617860921,0.728103035274311,0.7648243126206418,0.77454577552432,0.7840984454958629,0.7853185151010343,0.7877288282056741,0.7877288282056741,0.7877288282056741,0.8022127771701848
39,0.012961227373971028,0.7388880840821206,0.7725697711856024,0.7820603701142769,0.7912213224415604,0.7923502779860551,0.7946456561191311,0.7946456561191311,0.7946456561191311,0.808375474689661
40,0.013841256513086226,0.7499445831906555,0.7805501009255911,0.7897913201634064,0.7985444830533358,0.7995823239386103,0.8017621690813389,0.8017621690813389,0.8017621690813389,0.814722857999379
41,0.014781037037108622,0.7612793647679543,0.7887716938070631,0.7977435326436617,0.8060721748931385,0.8070189005206494,0.8090826115426921,0.8090826115426921,0.8090826115426921,0.8212588732223384
42,0.01578462588897298,0.7728994329417852,0.7972411084587171,0.805921962089946,0.8138086660309185,0.8146642758021116,0.8166112484453855,0.8166112484453855,0.8166112484453855,0.8279874810397635
43,0.01685635546608266,0.7848119681277217,0.8059650744358187,0.8143316053124537,0.8217582386469285,0.8225227319632517,0.8243523588256549,0.8243523588256549,0.8243523588256549,0.8349126501753285
44,0.01800085232285616,0.7970243314661537,0.8149504965926937,0.8229774954510947,0.8299251819305674,0.8305985581934628,0.8323102287125167,0.8323102287125167,0.8323102287125167,0.8420383501735333
45,0.019223057143121523,0.8095440693709745,0.8242044595661204,0.8318646953132884,0.8383137842151794,0.8388960428260842,0.8404891432624889,0.8404891432624889,0.8404891432624889,0.849368543411669
46,0.020528246068577474,0.822378918192753,0.8337342323724211,0.8409982899315616,0.8469283242832992,0.8474194646436468,0.8488933780647521,0.8488933780647521,0.8488933780647521,0.8569071762797789
47,0.021922053475394086,0.8355368089992753,0.8435472731211275,0.8503833782721291,0.8557730617714988,0.8561730832827191,0.8575271895459092,0.8575271895459092,0.8575271895459092,0.8646581694577303
48,0.023410496297277688,0.8490258724764074,0.8536512338481632,0.8600250640199594,0.8648522265982266,0.8651611286617478,0.8663948043977394,0.8663948043977394,0.8663948043977394,0.8726254072127403
49,0.025,0.8628544439523087,0.8640539654715627,0.869928445359694,0.8741700073318154,0.8743877893490585,0.8755004079451122,0.8755004079451122,0.8755004079451122,0.8808127256344709
