TS,rh,pa_hpa,t_a,pw_hpa,dw_ir,lw_s,esky_c,lw_c,zen,cs_period,w,q,he,tau,esky_t,lw_c_t,site
2012-06-29 21:43:00+00:00,5.4,899.4,308.25,3.050336725861385,342.3,355.4866869640266,0.7158051939944976,366.40995641225385,28.12,True,0.0021166387565998467,0.002112168059823971,2933.4007530753747,1.176310697538792,0.6915855234400534,354.0122698536379,DRA
2012-06-29 21:55:00+00:00,5.7,899.3,307.95,3.166700084453927,340.8,353.96319547006715,0.7176532561678117,365.92794197058333,30.4,True,0.0021979142151220986,0.002193093982682462,2932.8137076534067,1.1849417299794753,0.6942360041460589,353.9875978485708,DRA
2012-07-05 20:28:00+00:00,23.6,900.7,303.85,10.407770009587004,373.5,387.1392082233542,0.7986620235413764,385.9758005532454,16.25,True,0.007271123539551314,0.007218635945802339,2941.03709506281,1.5518053757914614,0.7881348678364695,380.8882575989264,DRA
2012-07-05 20:30:00+00:00,23.0,900.6,304.25,10.37742518147571,378.7,392.3079164886776,0.7983984627681395,387.8842267480755,16.48,True,0.007250491165863828,0.007198299955626322,2940.44937088503,1.5505169272796908,0.7878617145880776,382.7651807943893,DRA
2012-07-05 20:37:00+00:00,24.0,900.5,303.45,10.344554979738817,374.6,388.1979982962892,0.7981125326468453,383.6831947259205,17.33,True,0.007228070492959238,0.0071762004105203935,2939.861698912276,1.549124202986895,0.7875660586087099,378.6131016168371,DRA
2012-07-11 15:45:00+00:00,11.6,899.2,309.15,6.886280002629784,382.0,395.6588641312434,0.7649536460529204,396.1614404048837,54.47,True,0.004800025305055598,0.004777095127558659,2932.2267144515486,1.3972823357040685,0.7527319568229978,389.8319562139265,DRA
2012-07-11 16:54:00+00:00,11.4,898.8,309.75,6.994169799219406,390.8,404.52308439919824,0.7661003595213464,399.84438911304915,40.68,True,0.004878005485497978,0.004854326056366626,2929.879263868447,1.402231700760166,0.7539527530601963,393.50428990244575,DRA
2012-07-11 17:37:00+00:00,10.8,898.6,310.95,7.074259276555193,395.9,409.6794775932721,0.7669458864530239,406.52480182159684,32.28,True,0.004935413060829067,0.0049111743866173466,2928.7058519277616,1.4059227868446773,0.7548592606016256,400.1182048690328,DRA
2012-07-11 19:31:00+00:00,9.8,897.6,312.54999999999995,6.99856099217796,406.5,420.5253181895212,0.766146843609542,414.5244095860731,15.23,True,0.004887668911431677,0.00486389579914575,2922.8419261049858,1.4019377483482076,0.7538804162472332,407.8876484971207,DRA
2012-07-15 18:37:00+00:00,40.6,901.5,301.45,15.590542077139633,389.1,402.89122474753054,0.8391152187297606,392.8645393143014,22.1,True,0.01094581988533603,0.0108273061424573,2945.7407677268893,1.7518376732546042,0.8265451030363968,386.97934905583315,DRA
2012-07-23 19:43:00+00:00,30.3,901.0,306.54999999999995,15.56915475929222,414.5,428.6210472505943,0.8389635022467294,420.0571965277851,16.85,True,0.010936712820922815,0.010818395140092358,2942.80058081471,1.7507439523419257,0.8263552880047682,413.7444414275729,DRA
