ir_meas,tsky
146.1861861861862,228.9901727569999
146.61661661661662,229.15053001441817
147.04704704704704,229.3109995668301
147.47747747747746,229.4715814928737
147.9079079079079,229.63227587124192
148.33833833833836,229.7930827806829
148.76876876876878,229.9540023
149.1991991991992,230.12650276529126
149.62962962962962,230.28765577198322
150.06006006006007,230.44892163091623
150.4904904904905,230.61030042111852
150.92092092092093,230.7487150424514
151.35135135135135,230.91030377200903
151.78178178178177,231.0720056589358
152.2122122122122,231.23382078247357
152.64264264264264,231.39574922191957
153.0730730730731,231.53463527752112
153.5035035035035,231.69677437136704
153.93393393393393,231.85902700799127
154.36436436436435,232.02139326690548
154.7947947947948,232.16065484035434
155.22522522522524,232.3
155.65565565565566,232.47426032026564
156.08608608608608,232.6370574148154
156.5165165165165,232.776688516077
